F,G,H,L,M,N,sigma0,k,n
0.1497,0.222,0.778,1.5,1.5,0.8166,242.47,570.54,0.255
0.4022,0.1987,0.8013,1.5,1.5,0.7897,154.67,572.02,0.228
0.2524,0.189,0.811,1.5,1.5,1.2363,239.67,616.64,0.18
0.1889,0.237,0.763,1.5,1.5,1.4941,235.02,563.18,0.22
0.1711,0.2384,0.7616,1.5,1.5,2.4182,166.66,505.22,0.216
1.13,0.2779,0.7221,1.5,1.5,4.4843,190.85,635.03,0.26
0.2683,0.143,0.857,1.5,1.5,2.3053,265.27,603.83,0.237
0.1865,0.1891,0.8109,1.5,1.5,1.5878,128.35,634.61,0.217
0.2181,0.2157,0.7843,1.5,1.5,2.0376,135.2,389.94,0.183
0.5988,0.1659,0.8341,1.5,1.5,3.8334,298.35,693.07,0.223
0.1407,0.1884,0.8116,1.5,1.5,2.0523,172.26,348.07,0.176
0.0927,0.5516,0.4484,1.5,1.5,1.1127,206.29,547.09,0.223
0.6318,0.2064,0.7936,1.5,1.5,5.4218,128.29,310.09,0.22
0.0783,0.5376,0.4624,1.5,1.5,3.3796,190.48,624.37,0.194
0.1535,0.178,0.822,1.5,1.5,1.1108,171.61,680.55,0.267
0.1535,0.2159,0.7841,1.5,1.5,1.8897,201.47,432.6,0.193
0.3272,0.5141,0.4859,1.5,1.5,2.4381,182.63,488.7,0.221
0.2205,0.2046,0.7954,1.5,1.5,2.2864,148.67,302.73,0.214
0.2663,0.1563,0.8437,1.5,1.5,2.5837,143.35,602.5,0.267
0.4863,0.2234,0.7766,1.5,1.5,1.5379,185.74,676.48,0.268
0.2202,0.2633,0.7367,1.5,1.5,1.4934,134.85,302.35,0.282
0.4767,0.1701,0.8299,1.5,1.5,1.4688,277.98,623.4,0.292
0.3026,0.1752,0.8248,1.5,1.5,2.9028,188.39,640.14,0.292
0.2118,0.2841,0.7159,1.5,1.5,1.5869,179.82,655.88,0.257
0.2737,0.2122,0.7878,1.5,1.5,0.9466,162.11,414.58,0.249
0.1949,0.3367,0.6633,1.5,1.5,3.0956,218.48,663.93,0.222
0.3536,0.5537,0.4463,1.5,1.5,4.3571,125.0,319.42,0.221
0.4611,0.2055,0.7945,1.5,1.5,1.6679,145.82,601.83,0.219
0.1587,0.154,0.846,1.5,1.5,1.0192,166.45,489.51,0.243
1.3072,0.1843,0.8157,1.5,1.5,6.7177,138.29,402.91,0.283
0.156,0.2696,0.7304,1.5,1.5,1.8784,148.6,484.94,0.229
0.2466,0.196,0.804,1.5,1.5,1.6483,142.63,552.54,0.239
0.1453,0.2041,0.7959,1.5,1.5,1.7611,130.35,441.44,0.178
0.3759,0.4158,0.5842,1.5,1.5,1.836,197.11,480.78,0.263
0.1777,0.3039,0.6961,1.5,1.5,1.6523,179.17,660.27,0.276
0.4403,0.1849,0.8151,1.5,1.5,0.8235,154.99,494.23,0.297
0.1082,0.3691,0.6309,1.5,1.5,0.7866,176.14,602.13,0.296
0.1862,0.1441,0.8559,1.5,1.5,1.7483,206.63,462.88,0.247
0.1519,0.1444,0.8556,1.5,1.5,1.6419,120.65,365.24,0.267
0.1633,0.4577,0.5423,1.5,1.5,1.0109,134.92,516.24,0.236
0.3431,0.2757,0.7243,1.5,1.5,1.367,154.87,440.23,0.22
0.1426,0.1717,0.8283,1.5,1.5,0.5523,240.69,584.25,0.236
0.1923,0.2202,0.7798,1.5,1.5,2.0591,294.39,639.45,0.245
0.1739,0.3765,0.6235,1.5,1.5,3.4924,263.97,663.19,0.291
0.1523,0.1457,0.8543,1.5,1.5,1.2895,151.92,491.52,0.209
0.3928,0.1597,0.8403,1.5,1.5,1.7461,181.41,470.15,0.196
0.2098,0.1597,0.8403,1.5,1.5,0.7544,146.14,503.86,0.23
0.1484,0.1521,0.8479,1.5,1.5,1.2823,181.45,421.56,0.166
0.3768,0.1495,0.8505,1.5,1.5,2.7305,152.1,360.24,0.197
0.4752,0.1556,0.8444,1.5,1.5,3.3734,135.06,447.89,0.262
0.1516,0.1596,0.8404,1.5,1.5,0.6522,135.11,663.41,0.213
0.1236,0.304,0.696,1.5,1.5,0.6687,153.95,477.35,0.225
0.2871,0.15,0.85,1.5,1.5,1.0919,122.71,462.4,0.246
0.2239,0.1486,0.8514,1.5,1.5,1.8136,144.64,484.36,0.161
0.2531,0.2107,0.7893,1.5,1.5,1.7651,230.66,520.19,0.194
0.3792,0.149,0.851,1.5,1.5,1.3005,217.87,549.38,0.3
0.1462,0.1881,0.8119,1.5,1.5,1.4023,130.87,422.06,0.224
0.2863,0.1734,0.8266,1.5,1.5,1.8177,225.79,577.13,0.283
0.169,0.1555,0.8445,1.5,1.5,1.1246,213.79,642.67,0.188
0.1864,0.206,0.794,1.5,1.5,0.5815,187.5,662.03,0.297
0.1889,0.1444,0.8556,1.5,1.5,1.2012,247.92,507.7,0.286
0.3205,0.1801,0.8199,1.5,1.5,1.9801,134.99,361.64,0.272
0.1414,0.2262,0.7738,1.5,1.5,2.0546,180.51,488.62,0.211
0.1405,0.1616,0.8384,1.5,1.5,0.8677,128.45,548.48,0.198
0.1342,0.3051,0.6949,1.5,1.5,0.5298,131.77,519.89,0.215
0.145,0.1757,0.8243,1.5,1.5,1.2617,149.31,661.77,0.28
0.1945,0.2096,0.7904,1.5,1.5,2.2402,174.51,472.53,0.187
0.5383,0.1484,0.8516,1.5,1.5,3.1321,238.69,535.65,0.296
0.2045,0.19,0.81,1.5,1.5,1.8415,161.5,337.04,0.279
0.4015,0.4632,0.5368,1.5,1.5,5.387,243.75,538.35,0.276
0.139,0.2431,0.7569,1.5,1.5,0.6756,272.24,695.24,0.264
0.1761,0.4458,0.5542,1.5,1.5,0.9049,217.85,693.27,0.249
0.8474,0.2416,0.7584,1.5,1.5,1.6879,229.33,593.24,0.295
0.1381,0.3384,0.6616,1.5,1.5,2.5181,244.64,607.52,0.191
0.4694,0.1758,0.8242,1.5,1.5,3.1497,168.38,569.21,0.198
0.4607,0.1947,0.8053,1.5,1.5,1.8331,159.4,478.69,0.23
0.3485,0.2114,0.7886,1.5,1.5,2.1533,234.71,597.6,0.195
0.1559,0.3422,0.6578,1.5,1.5,2.282,130.85,403.97,0.298
0.3599,0.2639,0.7361,1.5,1.5,3.1499,197.35,655.92,0.233
0.1398,0.1815,0.8185,1.5,1.5,1.3356,195.72,552.98,0.283
0.3981,0.2038,0.7962,1.5,1.5,2.454,172.59,390.61,0.19
0.2982,0.2613,0.7387,1.5,1.5,2.049,145.6,478.32,0.221
0.1799,0.1941,0.8059,1.5,1.5,1.1565,135.11,485.46,0.285
0.117,0.4284,0.5716,1.5,1.5,2.7776,279.96,675.68,0.29
1.1419,0.227,0.773,1.5,1.5,4.5869,278.26,664.36,0.276
0.1218,0.5038,0.4962,1.5,1.5,0.7983,165.04,606.96,0.3
0.5087,0.3433,0.6567,1.5,1.5,2.7399,209.18,679.57,0.178
0.1543,0.5263,0.4737,1.5,1.5,1.4164,142.14,659.87,0.23
0.3218,0.2126,0.7874,1.5,1.5,1.1195,287.81,691.22,0.221
0.1523,0.2435,0.7565,1.5,1.5,1.1803,138.74,426.85,0.278
0.1762,0.1477,0.8523,1.5,1.5,1.4588,153.63,644.78,0.219
0.1419,0.151,0.849,1.5,1.5,1.579,176.59,634.54,0.209
0.1459,0.1802,0.8198,1.5,1.5,0.9316,180.74,629.17,0.27
0.3606,0.233,0.767,1.5,1.5,1.9774,127.13,479.52,0.236
0.2379,0.1494,0.8506,1.5,1.5,2.1051,146.29,556.81,0.273
0.1968,0.1502,0.8498,1.5,1.5,1.3187,197.62,645.78,0.226
0.1466,0.2924,0.7076,1.5,1.5,2.0779,232.36,594.5,0.268
0.5559,0.1879,0.8121,1.5,1.5,1.5054,182.16,502.53,0.282
0.174,0.2507,0.7493,1.5,1.5,2.7204,152.97,515.69,0.239
0.3752,0.2632,0.7368,1.5,1.5,2.0395,149.88,689.21,0.245
0.2142,0.2505,0.7495,1.5,1.5,2.607,211.89,544.28,0.29
0.2505,0.4482,0.5518,1.5,1.5,3.6234,256.68,626.03,0.22
0.1886,0.2002,0.7998,1.5,1.5,2.3141,230.32,626.41,0.297
0.2079,0.1906,0.8094,1.5,1.5,1.0141,158.98,349.38,0.21
0.5335,0.147,0.853,1.5,1.5,2.3938,160.19,613.12,0.253
0.2506,0.1691,0.8309,1.5,1.5,1.8793,132.28,338.96,0.204
0.2628,0.2952,0.7048,1.5,1.5,0.7388,188.08,641.89,0.212
0.4959,0.1516,0.8484,1.5,1.5,1.9734,166.95,679.23,0.189
0.1989,0.2074,0.7926,1.5,1.5,2.4235,160.16,661.79,0.283
0.2076,0.168,0.832,1.5,1.5,1.8917,125.79,654.22,0.239
0.2919,0.1884,0.8116,1.5,1.5,1.0425,173.44,399.19,0.247
0.3835,0.1675,0.8325,1.5,1.5,0.7939,160.17,526.61,0.247
0.1733,0.2132,0.7868,1.5,1.5,2.3999,128.55,637.3,0.206
0.1336,0.2438,0.7562,1.5,1.5,0.9944,171.0,477.62,0.258
0.1934,0.2545,0.7455,1.5,1.5,2.1645,278.98,615.31,0.281
0.165,0.4361,0.5639,1.5,1.5,1.3405,157.66,505.35,0.236
0.1231,0.2775,0.7225,1.5,1.5,1.2272,283.83,662.27,0.261
0.2188,0.2283,0.7717,1.5,1.5,1.6202,218.17,670.98,0.179
0.1281,0.3672,0.6328,1.5,1.5,2.0492,232.91,512.78,0.219
0.4333,0.3011,0.6989,1.5,1.5,0.929,271.24,666.98,0.296
0.1471,0.1539,0.8461,1.5,1.5,1.5247,151.87,507.98,0.171
0.2139,0.1732,0.8268,1.5,1.5,2.1984,161.24,502.98,0.262
0.0867,0.5368,0.4632,1.5,1.5,2.8746,158.63,680.9,0.238
0.1663,0.1964,0.8036,1.5,1.5,1.797,287.99,610.78,0.203
0.2823,0.1558,0.8442,1.5,1.5,1.4673,172.23,419.86,0.195
0.0912,0.5128,0.4872,1.5,1.5,3.4472,208.12,641.34,0.266
0.1546,0.1924,0.8076,1.5,1.5,1.6915,123.99,479.2,0.198
0.1464,0.188,0.812,1.5,1.5,1.1873,163.28,336.23,0.243
0.1739,0.3255,0.6745,1.5,1.5,3.1165,120.89,289.54,0.296
0.2931,0.3355,0.6645,1.5,1.5,1.8236,214.59,543.81,0.245
0.3922,0.407,0.593,1.5,1.5,3.363,277.04,683.59,0.277
0.1848,0.1588,0.8412,1.5,1.5,2.1262,217.13,445.81,0.257
0.2022,0.1546,0.8454,1.5,1.5,2.1985,122.69,516.01,0.3
0.3791,0.3412,0.6588,1.5,1.5,3.0063,170.5,367.33,0.279
0.2279,0.2524,0.7476,1.5,1.5,2.7585,130.05,291.06,0.185
0.2391,0.1647,0.8353,1.5,1.5,2.6098,151.27,671.17,0.168
0.0929,0.4819,0.5181,1.5,1.5,1.5165,229.19,520.79,0.258
0.1899,0.5583,0.4417,1.5,1.5,1.058,206.13,634.04,0.241
0.1387,0.1979,0.8021,1.5,1.5,1.5738,174.31,592.4,0.297
0.3139,0.166,0.834,1.5,1.5,0.7894,249.13,686.15,0.2
0.3226,0.2796,0.7204,1.5,1.5,2.5071,148.32,398.86,0.294
0.2351,0.1731,0.8269,1.5,1.5,2.4532,231.26,620.56,0.171
0.6044,0.4058,0.5942,1.5,1.5,2.3721,155.95,456.93,0.206
0.1652,0.233,0.767,1.5,1.5,1.1105,204.81,622.63,0.27
0.1155,0.4645,0.5355,1.5,1.5,2.2388,206.71,543.45,0.248
0.1091,0.3779,0.6221,1.5,1.5,1.1128,192.92,517.06,0.269
0.3709,0.1504,0.8496,1.5,1.5,3.2821,171.67,555.29,0.226
0.1563,0.1514,0.8486,1.5,1.5,1.3065,135.41,322.69,0.227
0.1556,0.145,0.855,1.5,1.5,1.2475,132.36,399.27,0.288
0.4715,0.1447,0.8553,1.5,1.5,3.604,214.07,690.66,0.211
0.3568,0.1508,0.8492,1.5,1.5,1.0167,138.98,426.11,0.265
1.0395,0.1632,0.8368,1.5,1.5,7.6443,218.62,584.08,0.205
0.1511,0.2213,0.7787,1.5,1.5,2.1505,251.44,674.91,0.174
0.2992,0.1437,0.8563,1.5,1.5,2.8064,124.66,545.12,0.189
0.2391,0.3984,0.6016,1.5,1.5,2.7311,140.91,494.01,0.221
0.2808,0.3807,0.6193,1.5,1.5,2.2958,155.21,411.16,0.195
0.2178,0.4482,0.5518,1.5,1.5,1.6272,122.35,438.39,0.184
0.1891,0.1952,0.8048,1.5,1.5,0.8109,151.21,344.62,0.249
0.3576,0.1521,0.8479,1.5,1.5,2.6336,230.29,543.55,0.236
0.1348,0.2021,0.7979,1.5,1.5,1.5134,196.66,698.33,0.212
0.2778,0.3619,0.6381,1.5,1.5,2.6004,149.21,525.85,0.294
0.1071,0.4082,0.5918,1.5,1.5,1.8085,155.44,617.3,0.249
0.203,0.471,0.529,1.5,1.5,1.4626,196.84,673.39,0.206
0.7214,0.2519,0.7481,1.5,1.5,1.8561,163.53,576.66,0.279
0.1389,0.405,0.595,1.5,1.5,3.1224,185.63,659.84,0.277
0.1563,0.2262,0.7738,1.5,1.5,2.4763,286.25,617.98,0.232
0.2162,0.1482,0.8518,1.5,1.5,1.3912,120.76,428.08,0.248
0.1821,0.162,0.838,1.5,1.5,0.6936,168.69,677.53,0.291
0.7173,0.1485,0.8515,1.5,1.5,1.7482,131.25,596.14,0.279
0.0919,0.4728,0.5272,1.5,1.5,1.8247,211.5,460.2,0.278
0.2517,0.2785,0.7215,1.5,1.5,2.7371,168.98,616.26,0.25
0.1193,0.306,0.694,1.5,1.5,1.0628,213.4,613.01,0.233
1.0635,0.1577,0.8423,1.5,1.5,1.7927,159.14,679.26,0.211
0.3496,0.241,0.759,1.5,1.5,1.9231,127.32,410.9,0.18
0.1695,0.176,0.824,1.5,1.5,1.001,140.68,330.32,0.242
0.3967,0.1511,0.8489,1.5,1.5,3.4726,128.07,551.26,0.183
0.2393,0.387,0.613,1.5,1.5,2.3692,166.18,571.93,0.227
0.1438,0.292,0.708,1.5,1.5,2.4676,157.28,623.65,0.158
0.2064,0.1781,0.8219,1.5,1.5,1.9686,134.16,581.34,0.226
0.163,0.1889,0.8111,1.5,1.5,0.9339,145.22,642.0,0.244
0.2908,0.1598,0.8402,1.5,1.5,0.9265,157.67,382.21,0.266
0.3851,0.1891,0.8109,1.5,1.5,2.246,186.27,578.74,0.215
0.1447,0.1607,0.8393,1.5,1.5,1.4487,165.92,380.72,0.233
0.382,0.1672,0.8328,1.5,1.5,3.22,127.09,661.27,0.21
0.1361,0.3461,0.6539,1.5,1.5,2.8223,234.78,697.36,0.196
0.1176,0.4049,0.5951,1.5,1.5,1.2712,198.52,571.09,0.234
0.4285,0.1499,0.8501,1.5,1.5,1.0024,245.07,664.45,0.221
0.1753,0.1466,0.8534,1.5,1.5,1.0486,127.78,369.47,0.257
0.101,0.4023,0.5977,1.5,1.5,0.7161,188.16,453.68,0.289
0.2187,0.1576,0.8424,1.5,1.5,0.8037,165.51,475.49,0.285
0.2621,0.3183,0.6817,1.5,1.5,3.2245,243.47,489.63,0.276
0.3624,0.1955,0.8045,1.5,1.5,3.1062,219.51,529.38,0.269
0.3468,0.3257,0.6743,1.5,1.5,4.246,253.31,561.62,0.21
0.1196,0.3504,0.6496,1.5,1.5,1.6867,204.37,688.62,0.273
0.1047,0.3914,0.6086,1.5,1.5,3.0998,123.51,401.31,0.217
0.4827,0.2113,0.7887,1.5,1.5,3.7406,129.04,450.58,0.19
0.1784,0.1464,0.8536,1.5,1.5,1.4935,239.63,662.84,0.261
0.0718,0.6094,0.3906,1.5,1.5,1.0783,180.46,591.11,0.221
0.0949,0.4427,0.5573,1.5,1.5,2.4185,123.82,407.37,0.269
0.306,0.5615,0.4385,1.5,1.5,2.0855,121.28,495.04,0.277
0.1725,0.3591,0.6409,1.5,1.5,2.5163,271.02,568.21,0.234
0.1857,0.151,0.849,1.5,1.5,1.619,189.38,510.91,0.179
0.4479,0.3765,0.6235,1.5,1.5,1.1311,180.61,670.96,0.224
0.1404,0.2151,0.7849,1.5,1.5,1.9626,124.45,654.62,0.185
0.3052,0.1506,0.8494,1.5,1.5,2.6699,216.25,599.94,0.182
0.179,0.5112,0.4888,1.5,1.5,1.0871,225.89,613.97,0.298
0.2239,0.2591,0.7409,1.5,1.5,1.5674,176.24,489.3,0.192
0.1054,0.5631,0.4369,1.5,1.5,0.9419,164.07,627.57,0.249
0.72,0.4838,0.5162,1.5,1.5,3.7304,177.5,665.4,0.18
0.3827,0.2443,0.7557,1.5,1.5,2.5553,120.37,626.93,0.239
0.2583,0.1876,0.8124,1.5,1.5,2.04,297.32,610.15,0.298
0.1464,0.2297,0.7703,1.5,1.5,2.2314,122.12,476.57,0.283
0.1488,0.1879,0.8121,1.5,1.5,1.9429,158.14,559.92,0.279
0.1507,0.1916,0.8084,1.5,1.5,1.1483,163.45,353.23,0.201
0.1476,0.1749,0.8251,1.5,1.5,0.6049,151.29,565.72,0.253
0.1927,0.1692,0.8308,1.5,1.5,1.4051,169.01,600.63,0.287
0.157,0.2238,0.7762,1.5,1.5,2.0695,223.88,594.13,0.163
0.6318,0.1786,0.8214,1.5,1.5,4.9284,155.09,513.69,0.174
0.2113,0.1515,0.8485,1.5,1.5,0.7655,141.96,661.58,0.269
0.1896,0.1443,0.8557,1.5,1.5,1.0504,206.89,677.97,0.196
0.0896,0.5244,0.4756,1.5,1.5,3.0435,161.33,539.51,0.206
0.1026,0.4975,0.5025,1.5,1.5,1.9971,161.55,631.32,0.19
0.1226,0.322,0.678,1.5,1.5,0.605,179.05,490.15,0.291
0.1655,0.2541,0.7459,1.5,1.5,1.7092,155.73,471.82,0.214
0.6997,0.2982,0.7018,1.5,1.5,5.0484,194.33,448.85,0.275
0.3026,0.2048,0.7952,1.5,1.5,1.2447,249.18,575.51,0.219
0.2237,0.1912,0.8088,1.5,1.5,1.8455,227.41,674.89,0.208
0.3055,0.5426,0.4574,1.5,1.5,4.1423,136.75,429.04,0.178
0.2008,0.2075,0.7925,1.5,1.5,2.6428,132.86,543.0,0.188
0.3183,0.2575,0.7425,1.5,1.5,1.8712,255.54,665.72,0.268
0.1555,0.1823,0.8177,1.5,1.5,1.4647,151.93,531.02,0.296
0.1552,0.1825,0.8175,1.5,1.5,1.7551,194.47,674.82,0.157
0.2025,0.1811,0.8189,1.5,1.5,2.243,245.24,587.65,0.234
0.4733,0.2125,0.7875,1.5,1.5,3.2649,222.01,639.35,0.224
0.1383,0.3347,0.6653,1.5,1.5,2.6994,132.1,438.72,0.195
0.2581,0.2638,0.7362,1.5,1.5,3.227,130.2,626.52,0.245
0.1391,0.2057,0.7943,1.5,1.5,0.9213,135.37,640.74,0.29
0.1485,0.3563,0.6437,1.5,1.5,0.9086,140.48,431.54,0.213
0.2461,0.4787,0.5213,1.5,1.5,1.2829,184.27,615.88,0.2
0.1611,0.2327,0.7673,1.5,1.5,2.2183,265.03,609.16,0.262
0.1647,0.1861,0.8139,1.5,1.5,1.5815,198.28,487.88,0.284
0.1895,0.3544,0.6456,1.5,1.5,2.2005,137.91,329.78,0.242
0.1679,0.1594,0.8406,1.5,1.5,1.5652,212.8,612.84,0.165
0.1924,0.3583,0.6417,1.5,1.5,3.1225,137.99,655.09,0.212
0.2312,0.2822,0.7178,1.5,1.5,2.768,237.9,661.52,0.182
0.1222,0.4427,0.5573,1.5,1.5,2.4562,131.46,532.43,0.208
0.1864,0.1581,0.8419,1.5,1.5,1.9319,140.76,512.49,0.202
0.2891,0.1581,0.8419,1.5,1.5,1.1431,164.19,547.56,0.285
0.3336,0.1944,0.8056,1.5,1.5,0.9578,187.92,616.72,0.246
1.0658,0.2241,0.7759,1.5,1.5,5.7155,246.26,672.36,0.198
0.1477,0.1838,0.8162,1.5,1.5,1.5936,214.22,644.28,0.294
0.1351,0.355,0.645,1.5,1.5,2.1351,122.13,419.23,0.209
0.2499,0.1589,0.8411,1.5,1.5,0.7767,184.6,527.12,0.192
0.1981,0.1882,0.8118,1.5,1.5,2.3249,151.01,375.62,0.29
0.169,0.164,0.836,1.5,1.5,1.6826,140.73,677.67,0.292
0.2106,0.1945,0.8055,1.5,1.5,0.6145,174.1,481.81,0.236
0.31,0.1927,0.8073,1.5,1.5,2.6101,130.79,561.86,0.159
0.1569,0.1908,0.8092,1.5,1.5,0.3974,245.39,650.2,0.248
0.4209,0.5556,0.4444,1.5,1.5,4.2153,164.66,628.84,0.217
0.3464,0.1461,0.8539,1.5,1.5,2.4546,279.74,681.5,0.248
0.281,0.1639,0.8361,1.5,1.5,1.9261,168.72,598.25,0.2
0.1462,0.2161,0.7839,1.5,1.5,1.6272,123.56,314.34,0.269
0.3023,0.1588,0.8412,1.5,1.5,2.2394,289.1,694.35,0.227
0.1593,0.2393,0.7607,1.5,1.5,1.469,180.35,507.76,0.206
0.2673,0.1966,0.8034,1.5,1.5,2.6321,170.24,424.1,0.267
0.472,0.2581,0.7419,1.5,1.5,1.4396,188.91,681.11,0.28
0.6488,0.1611,0.8389,1.5,1.5,3.3951,201.11,523.57,0.2
0.1385,0.321,0.679,1.5,1.5,1.2048,136.97,645.47,0.189
1.041,0.1776,0.8224,1.5,1.5,1.5781,153.92,525.45,0.288
0.8448,0.2659,0.7341,1.5,1.5,7.1283,162.43,664.6,0.183
0.1553,0.1476,0.8524,1.5,1.5,1.4514,174.8,694.01,0.253
0.1623,0.2964,0.7036,1.5,1.5,2.0809,156.51,661.61,0.292
0.0814,0.5727,0.4273,1.5,1.5,1.8592,120.71,698.35,0.206
0.2221,0.2849,0.7151,1.5,1.5,2.7619,189.05,559.16,0.275
0.438,0.2546,0.7454,1.5,1.5,3.0957,128.22,650.28,0.264
0.3199,0.1546,0.8454,1.5,1.5,1.5751,243.65,685.11,0.196
0.8969,0.1452,0.8548,1.5,1.5,5.5474,212.19,654.82,0.277
0.1826,0.259,0.741,1.5,1.5,1.2515,184.89,388.55,0.249
0.3303,0.1573,0.8427,1.5,1.5,1.6267,200.16,662.38,0.234
0.279,0.1537,0.8463,1.5,1.5,2.099,164.05,689.07,0.251
0.1397,0.3082,0.6918,1.5,1.5,1.2066,153.49,612.75,0.284
0.1249,0.5618,0.4382,1.5,1.5,2.3745,124.87,298.98,0.273
0.769,0.234,0.766,1.5,1.5,1.1525,171.53,462.71,0.27
0.2463,0.2952,0.7048,1.5,1.5,2.9703,234.25,612.78,0.286
0.1655,0.204,0.796,1.5,1.5,0.4154,120.46,680.8,0.253
0.2701,0.2813,0.7187,1.5,1.5,1.2616,159.82,548.68,0.189
0.4424,0.1547,0.8453,1.5,1.5,0.8895,211.94,573.92,0.207
0.1728,0.2441,0.7559,1.5,1.5,1.9157,161.78,632.69,0.297
0.1093,0.3511,0.6489,1.5,1.5,0.657,228.47,550.77,0.232
0.6919,0.3551,0.6449,1.5,1.5,2.002,192.23,520.28,0.238
0.1831,0.2134,0.7866,1.5,1.5,1.6269,295.64,617.5,0.24
0.5209,0.4333,0.5667,1.5,1.5,4.2746,189.09,422.71,0.258
0.1491,0.2293,0.7707,1.5,1.5,0.672,149.02,394.95,0.285
0.2587,0.4413,0.5587,1.5,1.5,2.9727,134.25,698.97,0.231
0.3502,0.2215,0.7785,1.5,1.5,1.1805,198.01,464.51,0.274
0.4114,0.153,0.847,1.5,1.5,3.2677,135.97,569.72,0.16
0.2233,0.3946,0.6054,1.5,1.5,3.9158,135.55,489.22,0.178
0.2497,0.1998,0.8002,1.5,1.5,0.5259,124.77,616.46,0.295
0.1881,0.1902,0.8098,1.5,1.5,0.6056,144.21,635.33,0.24
0.152,0.3561,0.6439,1.5,1.5,1.0751,244.6,588.05,0.296
0.1862,0.3033,0.6967,1.5,1.5,1.8204,136.13,339.23,0.176
0.135,0.4801,0.5199,1.5,1.5,2.7396,232.06,615.16,0.252
0.6914,0.1448,0.8552,1.5,1.5,3.5361,207.53,534.79,0.286
0.496,0.1875,0.8125,1.5,1.5,2.0123,192.54,438.9,0.229
0.1639,0.1793,0.8207,1.5,1.5,2.109,201.73,388.04,0.221
0.1545,0.3559,0.6441,1.5,1.5,1.7395,135.52,631.17,0.173
0.2323,0.2244,0.7756,1.5,1.5,1.6343,223.87,686.02,0.249
0.1752,0.1595,0.8405,1.5,1.5,1.5288,290.99,692.37,0.22
0.3156,0.3004,0.6996,1.5,1.5,2.3677,179.7,656.27,0.261
0.1754,0.1602,0.8398,1.5,1.5,2.1366,154.46,417.33,0.263
0.1499,0.2185,0.7815,1.5,1.5,0.442,142.5,418.51,0.204
0.1524,0.2052,0.7948,1.5,1.5,1.7265,163.89,469.11,0.284
0.2592,0.1873,0.8127,1.5,1.5,2.7611,167.81,604.01,0.205
0.2667,0.3109,0.6891,1.5,1.5,3.1676,147.62,628.1,0.259
0.1538,0.1846,0.8154,1.5,1.5,1.3945,156.67,339.76,0.221
0.4633,0.3254,0.6746,1.5,1.5,5.0565,171.21,661.47,0.193
0.4066,0.2222,0.7778,1.5,1.5,3.9871,188.61,581.5,0.204
0.4049,0.1525,0.8475,1.5,1.5,1.2336,163.23,692.48,0.192
0.1324,0.2387,0.7613,1.5,1.5,0.9115,140.96,390.53,0.291
0.1566,0.1924,0.8076,1.5,1.5,1.4526,142.28,571.47,0.2
0.2232,0.183,0.817,1.5,1.5,0.73,225.1,482.09,0.271
0.1631,0.1738,0.8262,1.5,1.5,1.437,207.52,450.65,0.182
0.1205,0.4658,0.5342,1.5,1.5,1.346,207.39,561.42,0.231
0.3295,0.2701,0.7299,1.5,1.5,3.638,124.17,387.59,0.297
0.6274,0.2585,0.7415,1.5,1.5,4.461,156.33,400.09,0.267
0.1269,0.3117,0.6883,1.5,1.5,0.6053,165.36,561.07,0.198
0.3186,0.1888,0.8112,1.5,1.5,1.5039,259.78,643.25,0.293
0.1495,0.3146,0.6854,1.5,1.5,2.9104,168.27,576.88,0.285
0.1592,0.1742,0.8258,1.5,1.5,0.5475,232.84,608.8,0.232
0.5504,0.1518,0.8482,1.5,1.5,2.3756,152.65,384.79,0.274
0.2935,0.1557,0.8443,1.5,1.5,2.0536,126.81,318.14,0.174
0.1461,0.1776,0.8224,1.5,1.5,1.6638,181.62,595.47,0.211
0.3409,0.1793,0.8207,1.5,1.5,0.6493,177.77,590.43,0.291
0.16,0.2106,0.7894,1.5,1.5,0.6122,157.98,630.65,0.27
0.9154,0.1569,0.8431,1.5,1.5,4.8222,133.0,559.63,0.272
0.1349,0.3736,0.6264,1.5,1.5,1.0118,181.79,627.66,0.269
0.1485,0.2642,0.7358,1.5,1.5,1.2132,292.68,636.32,0.277
0.2144,0.1919,0.8081,1.5,1.5,1.9779,155.59,691.15,0.26
0.2133,0.4144,0.5856,1.5,1.5,0.7546,141.46,660.17,0.236
0.7599,0.1839,0.8161,1.5,1.5,4.4848,205.99,490.29,0.259
0.1523,0.1569,0.8431,1.5,1.5,1.8345,147.45,575.67,0.201
0.1718,0.3087,0.6913,1.5,1.5,2.5004,296.86,647.35,0.283
0.2418,0.3556,0.6444,1.5,1.5,2.9028,184.41,575.72,0.289
0.3939,0.5249,0.4751,1.5,1.5,5.0096,131.84,280.77,0.294
0.1751,0.1677,0.8323,1.5,1.5,1.9814,275.68,554.8,0.207
0.4,0.194,0.806,1.5,1.5,3.7433,123.14,625.8,0.191
0.2275,0.2022,0.7978,1.5,1.5,1.7781,164.62,545.49,0.299
0.1597,0.2167,0.7833,1.5,1.5,1.3562,139.87,638.49,0.229
0.137,0.5734,0.4266,1.5,1.5,3.8588,180.48,419.33,0.249
0.4938,0.3091,0.6909,1.5,1.5,1.1241,186.89,525.7,0.272
0.1466,0.5459,0.4541,1.5,1.5,1.648,135.5,330.19,0.262
0.1231,0.3679,0.6321,1.5,1.5,3.0078,138.65,364.19,0.208
0.1638,0.1652,0.8348,1.5,1.5,0.8783,277.89,625.7,0.197
